cntry,country,essround_yr,age_group,wellbeing_m_minus_w,wellbeing_color,wellbeing_men,wellbeing_woman,media_m_minus_w,media_color,media_men,media_woman,internet_m_minus_w,internet_color,internet_men,internet_woman,relig_m_minus_w,relig_color,relig_men,relig_woman,social_m_minus_w,social_color,social_men,social_woman,finstab_m_minus_w,finstab_color,finstab_men,finstab_woman,conservatism_m_minus_w,conservatism_color,conservatism_men,conservatism_woman,trust_m_minus_w,trust_color,trust_men,trust_woman
BE,Belgium,2012,60+,0.28,6,4.57,4.29,-0.09,8.0,3.55,3.64,,,,,-0.55,10,2.56,3.12,0.06,7,3.5,3.45,0.46,5.0,3.93,3.46,0.0,7,3.18,3.18,-0.02,8,3.44,3.46
BE,Belgium,2012,<25,0.24,6,4.86,4.63,-0.06,8.0,2.68,2.74,,,,,0.04,7,2.09,2.05,0.17,7,4.15,3.99,0.19,7.0,4.41,4.23,0.2,6,3.01,2.81,0.17,7,3.86,3.69
BE,Belgium,2012,AGGREGATE,0.17,7,4.65,4.48,0.02,7.0,3.13,3.11,,,,,-0.2,8,2.34,2.54,-0.01,8,3.64,3.64,0.21,6.0,4.14,3.93,0.08,7,3.06,2.99,0.06,7,3.59,3.53
BG,Bulgaria,2012,25-39,0.29,6,4.13,3.84,0.13,7.0,3.57,3.43,,,,,-0.44,10,2.49,2.93,0.3,6,3.69,3.38,-0.03,8.0,3.17,3.2,0.2,7,3.4,3.2,0.06,7,2.28,2.22
BG,Bulgaria,2012,40-59,0.24,6,3.78,3.54,-0.07,8.0,3.68,3.74,,,,,-0.61,11,2.48,3.09,0.06,7,3.34,3.29,0.22,6.0,3.16,2.93,0.09,7,3.36,3.27,-0.08,8,2.16,2.24
BG,Bulgaria,2012,60+,0.31,6,3.38,3.07,0.05,7.0,4.17,4.12,,,,,-0.78,11,2.61,3.39,0.1,7,3.22,3.12,0.37,6.0,2.36,1.98,0.12,7,3.34,3.23,-0.08,8,2.24,2.32
BG,Bulgaria,2012,<25,0.43,5,4.38,3.96,-0.42,10.0,3.07,3.49,,,,,-0.53,10,2.26,2.79,0.3,6,4.29,3.98,0.42,5.0,2.92,2.5,0.19,7,3.32,3.14,-0.03,8,2.22,2.25
BG,Bulgaria,2012,AGGREGATE,0.31,6,3.7,3.39,-0.02,8.0,3.84,3.86,,,,,-0.67,11,2.52,3.19,0.14,7,3.39,3.26,0.3,6.0,2.79,2.5,0.12,7,3.34,3.22,-0.06,8,2.22,2.27
CH,Switzerland,2012,25-39,0.21,6,5.08,4.86,-0.03,8.0,2.37,2.4,,,,,-0.24,9,2.48,2.72,0.09,7,3.9,3.81,0.35,6.0,4.43,4.08,0.07,7,3.0,2.93,-0.08,8,4.13,4.21
CH,Switzerland,2012,40-59,0.16,7,4.99,4.84,0.05,7.0,2.59,2.54,,,,,-0.34,9,2.81,3.16,-0.09,8,3.72,3.81,0.16,7.0,4.49,4.33,0.17,7,3.06,2.89,-0.01,8,4.15,4.16
CH,Switzerland,2012,60+,0.15,7,4.78,4.64,0.02,7.0,3.12,3.1,,,,,-0.71,11,2.98,3.68,-0.1,8,3.61,3.72,0.27,6.0,4.15,3.88,0.08,7,3.25,3.17,-0.08,8,4.03,4.11
CH,Switzerland,2012,<25,0.38,6,5.27,4.89,-0.02,8.0,2.3,2.32,,,,,-0.38,9,2.5,2.88,0.17,7,4.26,4.1,0.31,6.0,4.67,4.36,0.08,7,3.06,2.98,-0.15,8,4.17,4.32
CH,Switzerland,2012,AGGREGATE,0.2,7,4.99,4.79,0.02,7.0,2.67,2.64,,,,,-0.43,10,2.75,3.18,-0.02,8,3.81,3.83,0.24,6.0,4.4,4.16,0.11,7,3.1,2.99,-0.06,8,4.11,4.18
CY,Cyprus,2012,25-39,0.23,6,4.74,4.51,0.28,6.0,3.17,2.9,,,,,-0.57,10,3.54,4.11,0.19,7,3.47,3.28,0.06,7.0,3.01,2.95,-0.08,8,3.46,3.54,0.05,7,2.85,2.8
CY,Cyprus,2012,40-59,0.29,6,4.57,4.28,0.23,6.0,3.5,3.28,,,,,-0.85,12,3.62,4.47,0.06,7,3.11,3.04,0.17,7.0,3.26,3.09,0.1,7,3.7,3.6,0.03,7,3.11,3.08
CY,Cyprus,2012,60+,0.3,6,4.42,4.12,0.11,7.0,3.97,3.86,,,,,-0.87,12,4.13,5.0,0.2,6,3.16,2.96,0.32,6.0,3.15,2.84,-0.06,8,3.71,3.77,0.12,7,3.44,3.32
CY,Cyprus,2012,<25,0.16,7,4.76,4.6,-0.46,10.0,2.71,3.18,,,,,-0.54,10,3.49,4.03,0.13,7,3.59,3.47,0.11,7.0,2.8,2.69,0.22,6,3.49,3.28,-0.0,8,2.82,2.82
CY,Cyprus,2012,AGGREGATE,0.27,6,4.59,4.32,0.12,7.0,3.48,3.36,,,,,-0.75,11,3.74,4.49,0.15,7,3.28,3.12,0.18,7.0,3.11,2.94,0.02,7,3.62,3.59,0.05,7,3.11,3.06
CZ,Czechia,2012,25-39,0.25,6,4.56,4.31,-0.23,9.0,3.07,3.3,,,,,-0.21,9,1.58,1.79,0.13,7,3.47,3.34,0.33,6.0,4.12,3.79,0.13,7,3.5,3.36,0.04,7,3.07,3.03
CZ,Czechia,2012,40-59,0.19,7,4.25,4.07,0.16,7.0,3.62,3.47,,,,,-0.23,9,1.58,1.81,0.09,7,3.36,3.26,0.34,6.0,4.1,3.75,0.15,7,3.5,3.36,0.2,7,2.98,2.78
CZ,Czechia,2012,60+,0.15,7,3.88,3.73,0.03,7.0,4.04,4.01,,,,,-0.65,11,1.78,2.44,-0.15,8,3.01,3.16,0.53,5.0,3.39,2.86,0.13,7,3.5,3.37,0.13,7,2.94,2.81
CZ,Czechia,2012,<25,-0.0,8,4.73,4.73,0.02,7.0,2.83,2.82,,,,,-0.25,9,1.32,1.57,0.03,7,3.86,3.83,-0.05,8.0,4.2,4.25,0.21,6,3.56,3.35,-0.17,8,3.22,3.39
CZ,Czechia,2012,AGGREGATE,0.17,7,4.26,4.08,0.02,7.0,3.56,3.53,,,,,-0.37,9,1.61,1.98,0.02,7,3.33,3.31,0.38,6.0,3.89,3.51,0.15,7,3.5,3.36,0.11,7,3.01,2.9
DE,Germany,2012,25-39,0.19,7,4.7,4.52,0.09,7.0,2.75,2.67,,,,,-0.3,9,2.17,2.47,0.02,7,3.8,3.78,-0.07,8.0,4.02,4.1,0.11,7,2.85,2.74,0.1,7,3.81,3.71
DE,Germany,2012,40-59,0.12,7,4.49,4.37,0.13,7.0,3.05,2.92,,,,,-0.24,9,2.44,2.68,-0.11,8,3.56,3.67,0.06,7.0,4.18,4.12,0.15,7,2.89,2.75,0.02,7,3.73,3.71
DE,Germany,2012,60+,0.13,7,4.42,4.29,-0.0,8.0,3.58,3.58,,,,,-0.39,9,2.56,2.95,-0.07,8,3.57,3.64,0.17,7.0,3.97,3.8,0.05,7,3.11,3.06,-0.01,8,3.64,3.65
DE,Germany,2012,<25,0.41,5,4.86,4.45,0.02,7.0,2.58,2.56,,,,,-0.22,9,2.33,2.55,0.13,7,4.19,4.07,0.1,7.0,4.23,4.13,0.24,6,2.83,2.58,0.02,7,3.93,3.92
DE,Germany,2012,AGGREGATE,0.18,7,4.56,4.38,0.06,7.0,3.11,3.05,,,,,-0.3,9,2.42,2.72,-0.04,8,3.69,3.73,0.08,7.0,4.09,4.01,0.12,7,2.95,2.83,0.03,7,3.74,3.72
DK,Denmark,2012,25-39,0.04,7,5.16,5.12,-0.07,8.0,2.78,2.85,,,,,-0.62,11,1.83,2.46,0.01,7,4.11,4.09,0.11,7.0,4.42,4.31,0.2,7,2.64,2.45,-0.04,8,4.47,4.52
DK,Denmark,2012,40-59,0.21,6,5.17,4.96,0.02,7.0,3.28,3.26,,,,,-0.38,9,2.15,2.53,-0.11,8,3.8,3.91,0.14,7.0,4.93,4.79,0.3,6,2.84,2.54,-0.06,8,4.48,4.54
DK,Denmark,2012,60+,0.33,6,5.16,4.83,0.06,7.0,3.86,3.79,,,,,-0.62,11,2.28,2.89,-0.23,9,3.63,3.86,0.13,7.0,4.36,4.23,0.15,7,3.1,2.95,0.0,7,4.45,4.44
DK,Denmark,2012,<25,0.19,7,5.14,4.95,-0.05,8.0,2.72,2.77,,,,,-0.2,8,2.03,2.23,0.05,7,4.42,4.37,0.03,7.0,4.11,4.08,0.3,6,2.78,2.48,-0.08,8,4.37,4.46
DK,Denmark,2012,AGGREGATE,0.22,6,5.16,4.94,-0.01,8.0,3.3,3.31,,,,,-0.48,10,2.12,2.6,-0.09,8,3.9,3.99,0.1,7.0,4.56,4.45,0.23,6,2.88,2.66,-0.04,8,4.45,4.49
EE,Estonia,2012,25-39,-0.01,8,4.37,4.38,-0.07,8.0,2.9,2.97,,,,,-0.5,10,1.91,2.4,0.0,7,3.16,3.16,0.23,6.0,4.32,4.1,0.24,6,3.49,3.25,0.03,7,3.4,3.38
EE,Estonia,2012,40-59,0.09,7,4.06,3.97,0.16,7.0,3.35,3.19,,,,,-0.34,9,2.01,2.35,-0.16,8,2.9,3.06,0.07,7.0,3.85,3.78,0.18,7,3.63,3.44,-0.04,8,3.26,3.3
EE,Estonia,2012,60+,0.05,7,3.71,3.66,0.04,7.0,3.8,3.75,,,,,-0.69,11,1.95,2.64,-0.2,8,2.71,2.9,0.45,5.0,3.46,3.01,-0.0,8,3.78,3.78,-0.06,8,3.3,3.35
EE,Estonia,2012,<25,0.12,7,4.59,4.47,0.03,7.0,2.63,2.6,,,,,-0.15,8,1.73,1.88,0.01,7,3.68,3.67,0.24,6.0,4.19,3.95,0.44,5,3.47,3.03,-0.08,8,3.48,3.56
EE,Estonia,2012,AGGREGATE,0.13,7,4.11,3.98,-0.03,8.0,3.27,3.31,,,,,-0.5,10,1.92,2.42,-0.06,8,3.03,3.09,0.34,6.0,3.87,3.54,0.13,7,3.62,3.49,-0.03,8,3.34,3.36
ES,Spain,2012,25-39,0.14,7,4.62,4.48,0.14,7.0,2.9,2.76,,,,,-0.29,9,2.17,2.46,0.05,7,3.74,3.7,0.04,7.0,3.64,3.6,0.07,7,2.71,2.64,0.01,7,2.79,2.78
ES,Spain,2012,40-59,0.2,6,4.47,4.27,0.02,7.0,3.08,3.06,,,,,-0.37,9,2.61,2.98,0.06,7,3.61,3.55,0.02,7.0,3.66,3.64,0.07,7,2.84,2.77,0.03,7,2.92,2.89
ES,Spain,2012,60+,0.43,5,4.43,4.0,0.07,7.0,3.67,3.6,,,,,-0.96,12,2.95,3.91,0.2,7,3.56,3.37,0.32,6.0,3.45,3.14,-0.21,9,3.09,3.3,0.07,7,3.05,2.98
ES,Spain,2012,<25,0.31,6,4.82,4.51,-0.01,8.0,2.61,2.62,,,,,0.07,7,2.45,2.38,0.09,7,4.03,3.94,0.12,7.0,3.78,3.66,0.21,6,2.86,2.65,0.16,7,3.06,2.91
ES,Spain,2012,AGGREGATE,0.28,6,4.54,4.26,0.02,7.0,3.14,3.12,,,,,-0.53,10,2.56,3.1,0.11,7,3.68,3.57,0.13,7.0,3.61,3.49,-0.01,8,2.87,2.89,0.04,7,2.93,2.89
FI,Finland,2012,25-39,0.13,7,5.06,4.94,0.04,7.0,2.63,2.6,,,,,-0.34,9,2.18,2.52,-0.07,8,3.78,3.85,0.15,7.0,4.27,4.12,0.16,7,3.02,2.86,0.06,7,4.38,4.33
FI,Finland,2012,40-59,0.04,7,4.87,4.84,0.11,7.0,2.95,2.84,,,,,-0.72,11,2.35,3.07,-0.14,8,3.49,3.63,0.21,6.0,4.4,4.19,0.18,7,3.14,2.97,0.1,7,4.38,4.28
FI,Finland,2012,60+,0.14,7,4.71,4.58,-0.1,8.0,3.62,3.72,,,,,-0.75,11,2.76,3.51,-0.15,8,3.42,3.57,0.39,6.0,4.07,3.68,0.04,7,3.26,3.22,-0.04,8,4.28,4.32
FI,Finland,2012,<25,0.24,6,5.05,4.81,0.02,7.0,2.39,2.37,,,,,-0.2,8,2.19,2.39,0.11,7,4.06,3.95,0.23,6.0,3.93,3.7,0.35,6,3.11,2.76,0.01,7,4.36,4.35
FI,Finland,2012,AGGREGATE,0.13,7,4.88,4.75,-0.03,8.0,3.05,3.08,,,,,-0.62,11,2.43,3.05,-0.09,8,3.59,3.69,0.29,6.0,4.22,3.93,0.13,7,3.15,3.02,0.03,7,4.35,4.31
FR,France,2012,25-39,0.24,6,4.62,4.38,0.07,7.0,3.19,3.12,,,,,-0.18,8,2.09,2.27,0.09,7,3.98,3.89,0.15,7.0,3.89,3.73,-0.0,8,2.86,2.86,-0.31,9,3.16,3.47
FR,France,2012,40-59,0.17,7,4.39,4.22,0.09,7.0,3.3,3.21,,,,,-0.29,9,2.08,2.37,-0.14,8,3.72,3.86,0.23,6.0,3.95,3.72,0.12,7,2.99,2.87,0.01,7,3.35,3.35
FR,France,2012,60+,0.34,6,4.28,3.94,-0.01,8.0,3.81,3.82,,,,,-0.76,11,2.37,3.13,-0.1,8,3.71,3.8,0.27,6.0,3.74,3.46,0.09,7,3.4,3.31,-0.1,8,3.31,3.41
FR,France,2012,<25,0.01,7,4.62,4.61,-0.14,8.0,2.84,2.98,,,,,-0.04,8,2.21,2.25,0.09,7,4.31,4.22,-0.35,9.0,3.53,3.88,0.29,6,3.3,3.01,-0.2,8,3.35,3.55
FR,France,2012,AGGREGATE,0.24,6,4.41,4.17,0.02,7.0,3.44,3.42,,,,,-0.44,10,2.2,2.64,-0.06,8,3.81,3.87,0.19,7.0,3.83,3.64,0.08,7,3.14,3.05,-0.11,8,3.3,3.41
GB,United Kingdom,2012,25-39,0.3,6,4.75,4.45,0.09,7.0,3.09,3.0,,,,,-0.31,9,2.18,2.49,0.14,7,3.65,3.51,0.17,7.0,4.01,3.84,0.06,7,2.99,2.93,-0.03,8,3.6,3.63
GB,United Kingdom,2012,40-59,0.19,7,4.51,4.32,0.22,6.0,3.45,3.23,,,,,-0.34,9,2.3,2.64,-0.11,8,3.36,3.47,0.34,6.0,4.19,3.85,-0.01,8,3.06,3.07,0.15,7,3.6,3.45
GB,United Kingdom,2012,60+,0.1,7,4.52,4.42,-0.07,8.0,3.85,3.92,,,,,-0.53,10,2.71,3.24,-0.24,9,3.5,3.74,0.1,7.0,3.9,3.79,0.05,7,3.32,3.27,-0.16,8,3.55,3.71
GB,United Kingdom,2012,<25,0.21,6,4.76,4.55,-0.03,8.0,2.95,2.98,,,,,-0.33,9,1.92,2.25,0.21,6,4.1,3.88,0.16,7.0,3.91,3.75,0.02,7,2.88,2.87,-0.16,8,3.64,3.8
GB,United Kingdom,2012,AGGREGATE,0.17,7,4.58,4.4,0.08,7.0,3.51,3.43,,,,,-0.39,9,2.41,2.8,-0.09,8,3.53,3.62,0.19,7.0,4.03,3.84,0.03,7,3.14,3.1,-0.04,8,3.58,3.62
HU,Hungary,2012,25-39,-0.02,8,4.07,4.09,-0.0,8.0,2.96,2.97,,,,,-0.46,10,1.95,2.41,0.05,7,3.1,3.05,0.04,7.0,3.45,3.41,0.14,7,3.63,3.49,-0.12,8,3.15,3.27
HU,Hungary,2012,40-59,0.0,7,3.81,3.81,0.15,7.0,3.17,3.02,,,,,-0.47,10,2.18,2.65,0.01,7,2.79,2.78,0.06,7.0,3.24,3.18,0.09,7,3.62,3.53,-0.01,8,3.14,3.15
HU,Hungary,2012,60+,0.06,7,3.61,3.55,0.08,7.0,3.66,3.58,,,,,-0.9,12,2.45,3.35,0.03,7,2.71,2.68,0.34,6.0,3.4,3.06,0.04,7,3.72,3.67,-0.19,8,3.17,3.36
HU,Hungary,2012,<25,-0.11,8,4.32,4.43,0.03,7.0,2.7,2.67,,,,,-0.33,9,1.91,2.24,0.21,6,3.7,3.49,-0.28,9.0,3.11,3.39,0.19,7,3.7,3.51,-0.12,8,3.15,3.27
HU,Hungary,2012,AGGREGATE,0.02,7,3.89,3.87,0.05,7.0,3.19,3.14,,,,,-0.6,11,2.16,2.77,0.07,7,2.97,2.9,0.1,7.0,3.32,3.22,0.1,7,3.65,3.56,-0.11,8,3.15,3.26
IE,Ireland,2012,25-39,0.05,7,4.53,4.48,0.2,6.0,3.3,3.1,,,,,-0.59,10,2.76,3.35,0.06,7,3.46,3.4,0.13,7.0,3.25,3.12,0.04,7,2.81,2.77,0.02,7,3.43,3.41
IE,Ireland,2012,40-59,0.09,7,4.43,4.34,0.13,7.0,3.46,3.33,,,,,-0.69,11,3.16,3.85,-0.1,8,3.22,3.32,-0.07,8.0,3.26,3.34,0.08,7,2.98,2.91,-0.03,8,3.44,3.47
IE,Ireland,2012,60+,0.15,7,4.51,4.36,0.04,7.0,3.92,3.88,,,,,-0.41,10,4.13,4.54,-0.06,8,3.35,3.41,0.22,6.0,3.38,3.15,0.1,7,3.25,3.14,0.05,7,3.64,3.59
IE,Ireland,2012,<25,0.21,6,4.79,4.57,0.14,7.0,2.96,2.82,,,,,-0.55,10,2.63,3.19,0.04,7,4.05,4.01,0.24,6.0,3.18,2.94,0.03,7,2.86,2.83,0.04,7,3.48,3.44
IE,Ireland,2012,AGGREGATE,0.12,7,4.52,4.41,0.14,7.0,3.51,3.37,,,,,-0.52,10,3.31,3.84,-0.01,8,3.42,3.44,0.1,7.0,3.29,3.2,0.09,7,3.01,2.92,0.03,7,3.51,3.48
IL,Israel,2012,25-39,-0.05,8,4.91,4.96,0.23,6.0,2.66,2.42,,,,,0.29,6,3.35,3.06,-0.06,8,3.57,3.63,0.16,7.0,3.68,3.52,0.32,6,3.66,3.34,0.12,7,3.26,3.14
IL,Israel,2012,40-59,-0.01,8,4.76,4.77,0.15,7.0,3.12,2.97,,,,,0.24,6,3.26,3.02,-0.11,8,3.44,3.55,0.12,7.0,3.78,3.66,0.22,6,3.47,3.25,-0.09,8,3.24,3.33
IL,Israel,2012,60+,0.02,7,4.55,4.52,0.08,7.0,3.73,3.65,,,,,0.35,6,3.13,2.78,0.08,7,3.37,3.29,0.27,6.0,3.63,3.36,0.11,7,3.34,3.23,-0.01,8,3.36,3.37
IL,Israel,2012,<25,0.0,7,4.98,4.98,-0.01,8.0,2.71,2.71,,,,,0.14,7,3.11,2.96,0.11,7,3.99,3.88,0.02,7.0,3.56,3.55,0.26,6,3.79,3.52,-0.02,8,3.41,3.43
IL,Israel,2012,AGGREGATE,0.01,7,4.79,4.78,0.08,7.0,3.08,3.0,,,,,0.26,6,3.21,2.95,0.04,7,3.58,3.54,0.16,7.0,3.68,3.52,0.24,6,3.55,3.31,0.01,7,3.32,3.31
IS,Iceland,2012,25-39,0.1,7,5.07,4.97,0.08,7.0,2.8,2.72,,,,,-0.93,12,1.96,2.89,-0.14,8,3.84,3.98,-0.12,8.0,3.52,3.65,0.26,6,2.8,2.54,-0.25,9,3.73,3.99
IS,Iceland,2012,40-59,0.25,6,5.1,4.85,-0.05,8.0,2.88,2.93,,,,,-0.55,10,2.64,3.19,-0.36,9,3.53,3.89,0.34,6.0,4.07,3.73,0.26,6,2.78,2.52,-0.1,8,3.84,3.94
IS,Iceland,2012,60+,0.25,6,5.0,4.74,0.01,7.0,3.38,3.37,,,,,-0.66,11,3.08,3.74,-0.3,9,3.58,3.88,0.22,6.0,3.72,3.5,0.27,6,2.91,2.64,0.09,7,4.08,3.99
IS,Iceland,2012,<25,0.19,7,5.06,4.88,-0.11,8.0,2.25,2.36,,,,,-0.5,10,1.9,2.41,-0.04,8,4.16,4.2,0.16,7.0,4.28,4.11,0.29,6,2.69,2.4,-0.25,9,3.77,4.02
IS,Iceland,2012,AGGREGATE,0.2,6,5.06,4.85,-0.02,8.0,2.87,2.89,,,,,-0.65,11,2.46,3.11,-0.22,9,3.74,3.96,0.18,7.0,3.91,3.73,0.26,6,2.8,2.53,-0.11,8,3.87,3.98
IT,Italy,2012,25-39,0.26,6,4.69,4.43,-0.1,8.0,2.68,2.78,,,,,-0.65,11,2.95,3.6,0.14,7,3.54,3.4,0.27,6.0,3.7,3.43,0.12,7,3.13,3.01,-0.0,8,3.06,3.06
IT,Italy,2012,40-59,0.39,6,4.47,4.09,-0.01,8.0,3.01,3.02,,,,,-0.5,10,3.3,3.8,0.07,7,3.41,3.34,0.35,6.0,3.73,3.38,-0.15,8,3.02,3.17,0.11,7,3.22,3.11
IT,Italy,2012,60+,0.22,6,4.09,3.88,0.08,7.0,3.71,3.62,,,,,-0.93,12,3.34,4.27,0.21,6,3.27,3.06,0.3,6.0,3.51,3.21,0.02,7,3.4,3.37,0.05,7,3.08,3.03
IT,Italy,2012,<25,0.19,7,4.58,4.39,-0.02,8.0,2.82,2.84,,,,,-0.69,11,2.63,3.32,-0.11,8,3.76,3.88,0.36,6.0,3.88,3.51,0.42,5,3.31,2.9,0.1,7,3.05,2.95
IT,Italy,2012,AGGREGATE,0.29,6,4.43,4.14,-0.01,8.0,3.11,3.12,,,,,-0.67,11,3.15,3.82,0.09,7,3.44,3.35,0.31,6.0,3.68,3.37,0.04,7,3.19,3.15,0.07,7,3.12,3.05
LT,Lithuania,2012,25-39,0.13,7,4.34,4.22,0.05,7.0,3.18,3.13,,,,,-0.51,10,2.54,3.05,-0.11,8,3.15,3.26,0.64,4.0,4.74,4.1,0.14,7,3.75,3.61,-0.15,8,2.89,3.04
LT,Lithuania,2012,40-59,0.11,7,3.85,3.74,0.16,7.0,3.42,3.26,,,,,-0.67,11,2.66,3.33,0.07,7,2.89,2.81,0.34,6.0,4.14,3.81,0.11,7,3.85,3.74,-0.08,8,2.99,3.07
LT,Lithuania,2012,60+,0.04,7,3.34,3.3,0.08,7.0,3.79,3.71,,,,,-0.84,12,3.44,4.29,0.01,7,2.58,2.58,0.26,6.0,3.13,2.87,-0.05,8,3.91,3.96,-0.07,8,3.1,3.17
LT,Lithuania,2012,<25,0.18,7,4.57,4.38,-0.09,8.0,2.77,2.87,,,,,-0.55,10,2.11,2.66,0.17,7,3.87,3.7,0.21,6.0,4.1,3.88,0.16,7,3.59,3.43,-0.26,9,2.99,3.25
LT,Lithuania,2012,AGGREGATE,0.14,7,3.9,3.77,0.05,7.0,3.39,3.34,,,,,-0.74,11,2.79,3.53,0.07,7,3.0,2.94,0.39,6.0,3.93,3.54,0.05,7,3.8,3.74,-0.12,8,3.01,3.12
NL,Netherlands,2012,25-39,0.12,7,4.8,4.69,0.19,7.0,3.06,2.87,,,,,-0.34,9,2.28,2.62,-0.03,8,4.01,4.04,0.06,7.0,4.41,4.35,0.24,6,2.98,2.74,0.07,7,3.95,3.89
NL,Netherlands,2012,40-59,0.11,7,4.66,4.55,0.04,7.0,3.31,3.27,,,,,-0.39,9,2.18,2.58,-0.06,8,3.84,3.9,0.16,7.0,4.44,4.28,0.04,7,2.84,2.8,0.17,7,4.01,3.84
NL,Netherlands,2012,60+,0.31,6,4.69,4.38,-0.16,8.0,3.63,3.79,,,,,-0.35,9,2.74,3.08,-0.07,8,3.74,3.8,0.67,4.0,4.53,3.86,0.06,7,2.98,2.92,0.05,7,3.9,3.85
NL,Netherlands,2012,<25,0.33,6,5.0,4.68,0.02,7.0,2.67,2.65,,,,,0.3,6,2.36,2.06,-0.15,8,4.15,4.3,-0.11,8.0,4.01,4.12,0.44,5,3.06,2.61,0.03,7,4.07,4.04
NL,Netherlands,2012,AGGREGATE,0.2,7,4.72,4.53,0.0,7.0,3.34,3.34,,,,,-0.32,9,2.41,2.73,-0.07,8,3.86,3.92,0.31,6.0,4.45,4.13,0.11,7,2.93,2.82,0.1,7,3.96,3.87
NO,Norway,2012,25-39,0.12,7,5.05,4.93,0.01,7.0,2.9,2.89,,,,,-0.22,9,2.09,2.31,-0.01,8,3.98,3.99,0.02,7.0,4.21,4.2,0.16,7,3.02,2.86,-0.09,8,4.19,4.28
NO,Norway,2012,40-59,0.28,6,5.1,4.82,0.13,7.0,3.1,2.97,,,,,-0.31,9,2.16,2.47,-0.08,8,3.82,3.9,0.14,7.0,4.57,4.43,0.33,6,3.1,2.77,-0.06,8,4.26,4.33
NO,Norway,2012,60+,0.22,6,4.97,4.75,-0.02,8.0,3.71,3.74,,,,,-0.7,11,2.36,3.07,-0.3,9,3.59,3.89,0.32,6.0,4.29,3.96,0.08,7,3.22,3.15,-0.03,8,4.16,4.19
NO,Norway,2012,<25,0.46,5,5.2,4.74,-0.0,8.0,2.77,2.77,,,,,-0.47,10,1.95,2.42,0.02,7,4.34,4.32,-0.02,8.0,4.14,4.16,0.02,7,2.89,2.87,0.13,7,4.35,4.22
NO,Norway,2012,AGGREGATE,0.26,6,5.07,4.81,0.02,7.0,3.17,3.15,,,,,-0.43,10,2.17,2.6,-0.1,8,3.88,3.98,0.14,7.0,4.35,4.21,0.17,7,3.08,2.91,-0.03,8,4.23,4.26
PL,Poland,2012,25-39,0.18,7,4.74,4.56,-0.05,8.0,2.76,2.81,,,,,-0.51,10,3.48,3.99,0.18,7,3.46,3.27,0.15,7.0,3.97,3.82,0.16,7,3.3,3.14,-0.11,8,2.79,2.9
PL,Poland,2012,40-59,0.15,7,4.43,4.28,0.24,6.0,3.17,2.93,,,,,-0.45,10,3.79,4.24,0.07,7,3.26,3.19,0.18,7.0,3.71,3.53,0.07,7,3.32,3.24,-0.05,8,2.76,2.81
PL,Poland,2012,60+,0.06,7,4.14,4.08,0.11,7.0,3.65,3.54,,,,,-0.7,11,3.99,4.69,-0.02,8,3.03,3.05,0.29,6.0,3.4,3.11,-0.14,8,3.44,3.58,-0.06,8,2.85,2.91
PL,Poland,2012,<25,0.11,7,4.85,4.74,0.17,7.0,2.71,2.55,,,,,-0.32,9,3.5,3.82,0.2,7,4.04,3.84,-0.01,8.0,3.84,3.85,0.33,6,3.38,3.04,-0.03,8,2.95,2.98
PL,Poland,2012,AGGREGATE,0.15,7,4.5,4.35,0.08,7.0,3.12,3.04,,,,,-0.55,10,3.72,4.27,0.12,7,3.38,3.26,0.21,6.0,3.71,3.51,0.06,7,3.35,3.29,-0.07,8,2.82,2.89
PT,Portugal,2012,25-39,0.1,7,4.34,4.24,0.01,7.0,3.37,3.36,,,,,-0.74,11,2.27,3.01,0.12,7,3.99,3.86,0.19,7.0,3.19,3.0,0.1,7,3.18,3.08,-0.13,8,2.75,2.87
PT,Portugal,2012,40-59,0.15,7,4.09,3.94,-0.01,8.0,3.51,3.52,,,,,-0.99,12,2.43,3.42,0.1,7,3.75,3.65,-0.06,8.0,2.92,2.98,0.17,7,3.37,3.2,-0.03,8,2.71,2.74
PT,Portugal,2012,60+,0.22,6,3.84,3.61,0.05,7.0,3.83,3.78,,,,,-1.05,13,3.25,4.29,0.23,6,3.65,3.41,0.31,6.0,2.85,2.54,-0.02,8,3.56,3.57,-0.01,8,2.77,2.78
PT,Portugal,2012,<25,0.14,7,4.6,4.46,-0.34,9.0,3.08,3.43,,,,,-0.2,8,2.4,2.59,0.05,7,4.2,4.16,0.2,6.0,3.15,2.95,0.11,7,3.13,3.02,0.12,7,2.92,2.8
PT,Portugal,2012,AGGREGATE,0.22,6,4.11,3.89,-0.04,8.0,3.56,3.6,,,,,-0.97,12,2.7,3.67,0.19,7,3.81,3.63,0.19,7.0,2.97,2.78,0.05,7,3.37,3.32,-0.02,8,2.76,2.78
RU,Russian Federation,2012,25-39,0.15,7,4.06,3.91,-0.23,9.0,2.78,3.01,,,,,-0.45,10,2.27,2.73,-0.11,8,3.22,3.33,0.4,6.0,4.16,3.76,0.02,7,3.98,3.96,-0.39,9,2.43,2.82
RU,Russian Federation,2012,40-59,0.18,7,3.83,3.64,0.12,7.0,3.36,3.23,,,,,-0.32,9,2.46,2.78,0.12,7,3.2,3.08,0.4,5.0,3.96,3.55,-0.08,8,4.02,4.1,-0.1,8,2.55,2.64
RU,Russian Federation,2012,60+,0.04,7,3.42,3.38,0.02,7.0,3.68,3.66,,,,,-1.24,14,2.12,3.36,-0.06,8,3.07,3.13,0.4,6.0,3.25,2.85,0.05,7,4.25,4.2,-0.14,8,2.61,2.75
